1st,1stapperances,2nd,2nd apperances,ratio,distance
Black People,1167,Computers and the Internet,536,0.210526316,22
Social Media,652,Computers and the Internet,536,0.210526316,22
Quarantines,1073,Black Lives Matter Movement,453,0.210526316,23
Vaccination and Immunization,667,Television,663,0.210526316,24
Television,663,George Floyd Protests (2020),544,0.210526316,24
Content Type: Personal Profile,673,Research,588,0.210526316,26
Race and Ethnicity,688,Content Type: Personal Profile,673,0.208333333,25
United States Politics and Government,3830,Quarantines,1073,0.208333333,32
United States,1391,Education (K-12),413,0.206896552,14
Black People,1167,your-feed-science,694,0.206896552,15
"Biden, Joseph R Jr",1772,Quarantines,1073,0.206896552,17
Books and Literature,778,Parenting,456,0.206896552,17
Epidemics,489,Travel and Vacations,409,0.206896552,17
United States Economy,832,Research,588,0.206896552,18
Children and Childhood,483,Theater,437,0.206896552,19
Politics and Government,1118,Movies,440,0.206896552,20
Blacks,1167,Politics and Government,1118,0.206896552,21
Politics and Government,1118,Senate,577,0.206896552,21
your-feed-science,694,Children and Childhood,483,0.205128205,19
Politics and Government,1118,Education (K-12),413,0.205128205,20
Shutdowns (Institutional),701,Labor and Jobs,566,0.205128205,21
"Trump, Donald J",3415,Polls and Public Opinion,404,0.205128205,22
New York City,1402,Computers and the Internet,536,0.205128205,22
Quarantines,1073,George Floyd Protests (2020),544,0.205128205,25
Content Type: Personal Profile,673,Parenting,456,0.205128205,26
Presidential Election of 2020,2304,Books and Literature,778,0.204081633,26
Black People,1167,Real Estate and Housing (Residential),1128,0.204081633,32
your-feed-science,694,"Police Brutality, Misconduct and Shootings",401,0.203389831,37
Art,463,Theater,437,0.2,6
Black People,1167,Research,588,0.2,11
Social Media,652,Research,588,0.2,11
New York City,1402,Theater,437,0.2,12
Blacks,1167,Labor and Jobs,566,0.2,12
Labor and Jobs,566,Movies,440,0.2,12
"Trump, Donald J",3415,China,609,0.2,13
Women and Girls,647,China,609,0.2,13
Discrimination,612,Movies,440,0.2,13
United States,1391,your-feed-science,694,0.2,15
"Biden, Joseph R Jr",1772,Social Media,652,0.2,16
New York City,1402,your-feed-science,694,0.2,16
Black People,1167,Race and Ethnicity,688,0.2,16
"Biden, Joseph R Jr",1772,Coronavirus Reopenings,745,0.2,18
United States Economy,832,Parenting,456,0.2,18
Cooking and Cookbooks,492,Epidemics,489,0.2,18
Coronavirus Reopenings,745,Race and Ethnicity,688,0.2,19
Coronavirus Reopenings,745,Research,588,0.2,19
Research,588,Children and Childhood,483,0.2,19
Cooking and Cookbooks,492,Parenting,456,0.2,19
Coronavirus (2019-nCoV),6554,your-feed-science,694,0.2,20
Politics and Government,1118,Theater,437,0.2,20
Blacks,1167,Polls and Public Opinion,404,0.2,21
Discrimination,612,Computers and the Internet,536,0.2,22
House of Representatives,424,Education (K-12),413,0.2,22
Coronavirus (2019-nCoV),6554,Black Lives Matter Movement,453,0.2,23
Social Media,652,George Floyd Protests (2020),544,0.2,24
Black People,1167,Vaccination and Immunization,667,0.2,26
"Demonstrations, Protests and Riots",442,Movies,440,0.2,30
United States Politics and Government,3830,New York City,1402,0.2,32
New York City,1402,United States International Relations,549,0.2,32
Coronavirus (2019-nCoV),6554,United States International Relations,549,0.2,33
your-feed-science,694,"Demonstrations, Protests and Riots",442,0.196078431,30
Epidemics,489,"Police Brutality, Misconduct and Shootings",401,0.196078431,37
Content Type: Service,552,Travel and Vacations,409,0.195121951,19
Deaths (Fatalities),550,Children and Childhood,483,0.195121951,20
Democratic Party,1227,Shutdowns (Institutional),701,0.195121951,22
Republican Party,1147,Shutdowns (Institutional),701,0.195121951,23
New York City,1402,Vaccination and Immunization,667,0.195121951,24
Quarantine (Life and Culture),1509,Social Media,652,0.195121951,25
Presidential Election of 2020,2304,Black People,1167,0.195121951,26
"Demonstrations, Protests and Riots",442,Theater,437,0.195121951,31
"Trump, Donald J",3415,Republican Party,1147,0.193548387,15
Women and Girls,647,Education (K-12),413,0.193548387,15
Social Media,652,Deaths (Fatalities),550,0.193548387,17
Politics and Government,1118,Research,588,0.193548387,20
Shutdowns (Institutional),701,Senate,577,0.193548387,22
China,609,Computers and the Internet,536,0.193548387,23
United States Politics and Government,3830,"Trump, Donald J",3415,0.192307692,32
"Trump, Donald J",3415,Real Estate and Housing (Residential),1128,0.192307692,33
Quarantines,1073,Television,663,0.19047619,10
New York City,1402,Research,588,0.19047619,11
United States,1391,Research,588,0.19047619,11
Black People,1167,Epidemics,489,0.19047619,11
Black People,1167,Parenting,456,0.19047619,11
Discrimination,612,Theater,437,0.19047619,12
"Trump, Donald J",3415,Senate,577,0.19047619,13
Blacks,1167,Women and Girls,647,0.19047619,13
Labor and Jobs,566,Theater,437,0.19047619,13
Democratic Party,1227,China,609,0.19047619,14
China,609,Education (K-12),413,0.19047619,14
"Biden, Joseph R Jr",1772,Polls and Public Opinion,404,0.19047619,21
Women and Girls,647,Black Lives Matter Movement,453,0.19047619,23
Computers and the Internet,536,Education (K-12),413,0.19047619,23
"Trump, Donald J",3415,Black Lives Matter Movement,453,0.19047619,25
Presidential Election of 2020,2304,New York City,1402,0.19047619,25
Research,588,"Demonstrations, Protests and Riots",442,0.19047619,30
"Biden, Joseph R Jr",1772,Discrimination,612,0.1875,17
Quarantines,1073,Cooking and Cookbooks,492,0.1875,18
Research,588,Polls and Public Opinion,404,0.1875,21
Computers and the Internet,536,Movies,440,0.1875,23
"Biden, Joseph R Jr",1772,Shutdowns (Institutional),701,0.186046512,21
Epidemics,489,"Demonstrations, Protests and Riots",442,0.186046512,30
United States Politics and Government,3830,Senate,577,0.186046512,33
Real Estate and Housing (Residential),1128,Senate,577,0.186046512,33
Real Estate and Housing (Residential),1128,Movies,440,0.186046512,33
Black People,1167,"Police Brutality, Misconduct and Shootings",401,0.185185185,37
China,609,Movies,440,0.181818182,5
Blacks,1167,China,609,0.181818182,6
Research,588,Art,463,0.181818182,7
New York City,1402,Parenting,456,0.181818182,11
United States,1391,Parenting,456,0.181818182,11
New York City,1402,Epidemics,489,0.181818182,12
Discrimination,612,Research,588,0.181818182,12
"Trump, Donald J",3415,Theater,437,0.181818182,13
Research,588,Labor and Jobs,566,0.181818182,13
Democratic Party,1227,Blacks,1167,0.181818182,14
Democratic Party,1227,Movies,440,0.181818182,14
Blacks,1167,Republican Party,1147,0.181818182,14
Senate,577,Education (K-12),413,0.181818182,14
your-feed-science,694,China,609,0.181818182,15
Republican Party,1147,your-feed-science,694,0.181818182,17
Black People,1167,United States Economy,832,0.181818182,18
Black People,1167,Content Type: Service,552,0.181818182,18
Black People,1167,Cooking and Cookbooks,492,0.181818182,18
Epidemics,489,Polls and Public Opinion,404,0.181818182,21
your-feed-science,694,Black Lives Matter Movement,453,0.181818182,24
Vaccination and Immunization,667,China,609,0.181818182,25
Content Type: Personal Profile,673,Discrimination,612,0.181818182,27
Real Estate and Housing (Residential),1128,Theater,437,0.181818182,34
Vaccination and Immunization,667,George Floyd Protests (2020),544,0.178571429,27
your-feed-science,694,Vaccination and Immunization,667,0.177777778,26
United States Politics and Government,3830,Research,588,0.177777778,33
Research,588,United States International Relations,549,0.177777778,33
"Trump, Donald J",3415,Deaths (Fatalities),550,0.176470588,16
"Biden, Joseph R Jr",1772,Education (K-12),413,0.176470588,16
Vaccination and Immunization,667,Senate,577,0.176470588,25
Senate,577,George Floyd Protests (2020),544,0.176470588,25
George Floyd Protests (2020),544,Movies,440,0.176470588,25
Presidential Election of 2020,2304,China,609,0.176470588,26
Quarantine (Life and Culture),1509,China,609,0.176470588,26
New York City,1402,Television,663,0.173913043,11
Black People,1167,Quarantines,1073,0.173913043,11
Quarantines,1073,Social Media,652,0.173913043,11
Labor and Jobs,566,Epidemics,489,0.173913043,12
Theater,437,Education (K-12),413,0.173913043,14
Race and Ethnicity,688,China,609,0.173913043,16
"Biden, Joseph R Jr",1772,China,609,0.173913043,17
Books and Literature,778,Art,463,0.173913043,18
Art,463,Travel and Vacations,409,0.173913043,18
Content Type: Personal Profile,673,Education (K-12),413,0.173913043,26
Labor and Jobs,566,Content Type: Service,552,0.171428571,19
Coronavirus (2019-nCoV),6554,Social Media,652,0.171428571,20
Discrimination,612,Content Type: Service,552,0.171428571,20
Coronavirus (2019-nCoV),6554,Black People,1167,0.171428571,21
Computers and the Internet,536,Epidemics,489,0.171428571,23
George Floyd Protests (2020),544,Theater,437,0.171428571,25
Content Type: Personal Profile,673,China,609,0.171428571,27
Blacks,1167,Movies,440,0.166666667,5
Blacks,1167,Senate,577,0.166666667,6
Senate,577,Movies,440,0.166666667,6
New York City,1402,Quarantines,1073,0.166666667,12
Television,663,Labor and Jobs,566,0.166666667,13
"Trump, Donald J",3415,Epidemics,489,0.166666667,14
"Trump, Donald J",3415,Parenting,456,0.166666667,14
your-feed-science,694,Theater,437,0.166666667,15
"Biden, Joseph R Jr",1772,Blacks,1167,0.166666667,16
Blacks,1167,Race and Ethnicity,688,0.166666667,16
China,609,Deaths (Fatalities),550,0.166666667,17
"Trump, Donald J",3415,United States Economy,832,0.166666667,19
Books and Literature,778,Education (K-12),413,0.166666667,19
Coronavirus (2019-nCoV),6554,United States,1391,0.166666667,20
"Trump, Donald J",3415,Content Type: Service,552,0.166666667,20
Coronavirus (2019-nCoV),6554,Disease Rates,426,0.166666667,21
Television,663,Computers and the Internet,536,0.166666667,23
Epidemics,489,Black Lives Matter Movement,453,0.166666667,24
Research,588,George Floyd Protests (2020),544,0.166666667,25
Presidential Election of 2020,2304,Theater,437,0.166666667,26
Content Type: Personal Profile,673,Movies,440,0.166666667,27
Blacks,1167,"Police Brutality, Misconduct and Shootings",401,0.166666667,38
Senate,577,"Police Brutality, Misconduct and Shootings",401,0.166666667,38
Movies,440,"Police Brutality, Misconduct and Shootings",401,0.166666667,38
"Biden, Joseph R Jr",1772,Deaths (Fatalities),550,0.162162162,18
Content Type: Service,552,Education (K-12),413,0.162162162,19
Cooking and Cookbooks,492,Education (K-12),413,0.162162162,19
New York City,1402,Polls and Public Opinion,404,0.162162162,21
Disease Rates,426,Polls and Public Opinion,404,0.162162162,21
United States,1391,Polls and Public Opinion,404,0.162162162,22
Black People,1167,Shutdowns (Institutional),701,0.162162162,22
George Floyd Protests (2020),544,Epidemics,489,0.162162162,26
United States,1391,Black People,1167,0.16,12
New York City,1402,Black People,1167,0.16,13
Blacks,1167,Deaths (Fatalities),550,0.16,17
Books and Literature,778,China,609,0.16,18
China,609,Travel and Vacations,409,0.16,18
Research,588,"Police Brutality, Misconduct and Shootings",401,0.16,38
your-feed-science,694,Cooking and Cookbooks,492,0.157894737,19
Democratic Party,1227,Children and Childhood,483,0.157894737,20
Shutdowns (Institutional),701,Disease Rates,426,0.157894737,22
Quarantine (Life and Culture),1509,Epidemics,489,0.157894737,26
Blacks,1167,Theater,437,0.153846154,6
Movies,440,Theater,437,0.153846154,6
China,609,Research,588,0.153846154,7
"Trump, Donald J",3415,Quarantines,1073,0.153846154,13
Black People,1167,Discrimination,612,0.153846154,13
Democratic Party,1227,Television,663,0.153846154,14
United States Economy,832,China,609,0.153846154,19
China,609,Content Type: Service,552,0.153846154,19
Coronavirus (2019-nCoV),6554,Republican Party,1147,0.153846154,21
Politics and Government,1118,Art,463,0.153846154,21
Quarantine (Life and Culture),1509,Television,663,0.153846154,26
Content Type: Personal Profile,673,Epidemics,489,0.153846154,27
China,609,"Demonstrations, Protests and Riots",442,0.153846154,31
Deaths (Fatalities),550,Cooking and Cookbooks,492,0.15,20
"Biden, Joseph R Jr",1772,Parenting,456,0.148148148,16
Blacks,1167,United States Economy,832,0.148148148,19
Senate,577,Cooking and Cookbooks,492,0.148148148,19
Art,463,House of Representatives,424,0.148148148,22
Coronavirus (2019-nCoV),6554,"Biden, Joseph R Jr",1772,0.146341463,21
Coronavirus (2019-nCoV),6554,Race and Ethnicity,688,0.146341463,21
China,609,Epidemics,489,0.142857143,8
Black People,1167,Education (K-12),413,0.142857143,14
"Biden, Joseph R Jr",1772,Television,663,0.142857143,16
Blacks,1167,Coronavirus Reopenings,745,0.142857143,20
Blacks,1167,Children and Childhood,483,0.142857143,20
Politics and Government,1118,China,609,0.142857143,21
Children and Childhood,483,Movies,440,0.142857143,21
Real Estate and Housing (Residential),1128,China,609,0.142857143,34
China,609,United States International Relations,549,0.142857143,34
United States Politics and Government,3830,Movies,440,0.139534884,34
Blacks,1167,Real Estate and Housing (Residential),1128,0.139534884,34
Blacks,1167,United States International Relations,549,0.139534884,34
United States International Relations,549,Movies,440,0.139534884,34
United States Politics and Government,3830,Blacks,1167,0.139534884,35
Disease Rates,426,Education (K-12),413,0.137931034,14
New York City,1402,Education (K-12),413,0.137931034,15
Books and Literature,778,Epidemics,489,0.137931034,18
Coronavirus Reopenings,745,Theater,437,0.137931034,20
Coronavirus (2019-nCoV),6554,Blacks,1167,0.137931034,21
Coronavirus (2019-nCoV),6554,Senate,577,0.137931034,21
China,609,House of Representatives,424,0.137931034,22
China,609,Polls and Public Opinion,404,0.137931034,22
Computers and the Internet,536,Art,463,0.137931034,24
Senate,577,Epidemics,489,0.133333333,8
Parenting,456,Movies,440,0.133333333,8
Blacks,1167,Parenting,456,0.133333333,9
Books and Literature,778,Television,663,0.133333333,19
Coronavirus (2019-nCoV),6554,Theater,437,0.133333333,21
Blacks,1167,House of Representatives,424,0.133333333,22
Movies,440,Polls and Public Opinion,404,0.133333333,22
Art,463,Black Lives Matter Movement,453,0.133333333,25
Television,663,Cooking and Cookbooks,492,0.129032258,20
Coronavirus (2019-nCoV),6554,Research,588,0.129032258,21
Shutdowns (Institutional),701,Movies,440,0.129032258,23
George Floyd Protests (2020),544,Art,463,0.129032258,26
China,609,"Police Brutality, Misconduct and Shootings",401,0.127659574,39
Epidemics,489,Theater,437,0.125,8
United States,1391,Art,463,0.125,12
Art,463,Disease Rates,426,0.125,12
"Trump, Donald J",3415,your-feed-science,694,0.125,16
Coronavirus (2019-nCoV),6554,Epidemics,489,0.125,21
Shutdowns (Institutional),701,Theater,437,0.125,23
China,609,Black Lives Matter Movement,453,0.125,25
Presidential Election of 2020,2304,Art,463,0.125,27
Quarantine (Life and Culture),1509,Art,463,0.125,27
Theater,437,"Police Brutality, Misconduct and Shootings",401,0.12244898,39
Shutdowns (Institutional),701,Research,588,0.121212121,24
Black People,1167,China,609,0.117647059,12
Labor and Jobs,566,Art,463,0.117647059,13
Shutdowns (Institutional),701,Epidemics,489,0.117647059,23
Blacks,1167,George Floyd Protests (2020),544,0.117647059,26
Vaccination and Immunization,667,Movies,440,0.117647059,26
Blacks,1167,Vaccination and Immunization,667,0.117647059,27
Vaccination and Immunization,667,Theater,437,0.114285714,26
Presidential Election of 2020,2304,Blacks,1167,0.114285714,27
Presidential Election of 2020,2304,Movies,440,0.114285714,27
Quarantine (Life and Culture),1509,Movies,440,0.114285714,27
"Trump, Donald J",3415,Art,463,0.111111111,14
Women and Girls,647,Art,463,0.111111111,14
Vaccination and Immunization,667,Research,588,0.111111111,27
Art,463,"Demonstrations, Protests and Riots",442,0.108108108,32
New York City,1402,Blacks,1167,0.105263158,12
China,609,Labor and Jobs,566,0.105263158,13
Art,463,Education (K-12),413,0.105263158,15
Blacks,1167,Discrimination,612,0.1,13
Senate,577,Labor and Jobs,566,0.1,13
your-feed-science,694,Art,463,0.1,16
Blacks,1167,"Demonstrations, Protests and Riots",442,0.1,32
United States Politics and Government,3830,Art,463,0.1,35
United States International Relations,549,Art,463,0.1,35
"Trump, Donald J",3415,Blacks,1167,0.095238095,14
"Trump, Donald J",3415,Movies,440,0.095238095,14
Race and Ethnicity,688,Art,463,0.095238095,17
"Biden, Joseph R Jr",1772,Art,463,0.095238095,18
Discrimination,612,George Floyd Protests (2020),544,0.095238095,27
United States Politics and Government,3830,China,609,0.095238095,35
Blacks,1167,Education (K-12),413,0.090909091,15
Republican Party,1147,Movies,440,0.090909091,15
Movies,440,Education (K-12),413,0.090909091,15
Deaths (Fatalities),550,Art,463,0.090909091,18
Art,463,"Police Brutality, Misconduct and Shootings",401,0.088888889,40
"Trump, Donald J",3415,Research,588,0.086956522,14
Blacks,1167,your-feed-science,694,0.086956522,16
Research,588,Education (K-12),413,0.083333333,15
Race and Ethnicity,688,Movies,440,0.083333333,17
United States Economy,832,Art,463,0.083333333,20
Content Type: Service,552,Art,463,0.083333333,20
Coronavirus Reopenings,745,Art,463,0.08,21
Children and Childhood,483,Art,463,0.08,21
Coronavirus (2019-nCoV),6554,Art,463,0.076923077,22
Blacks,1167,Content Type: Service,552,0.074074074,21
Cooking and Cookbooks,492,Theater,437,0.071428571,20
Shutdowns (Institutional),701,Art,463,0.071428571,24
Research,588,Cooking and Cookbooks,492,0.068965517,20
Senate,577,Polls and Public Opinion,404,0.066666667,23
Theater,437,Polls and Public Opinion,404,0.064516129,23
Blacks,1167,Shutdowns (Institutional),701,0.064516129,24
Vaccination and Immunization,667,Art,463,0.064516129,27
Blacks,1167,Computers and the Internet,536,0.0625,25
Content Type: Personal Profile,673,Art,463,0.060606061,29
Quarantine (Life and Culture),1509,Blacks,1167,0.057142857,28
Blacks,1167,Content Type: Personal Profile,673,0.055555556,29
Real Estate and Housing (Residential),1128,Art,463,0.05,36
China,609,Art,463,0,5
Blacks,1167,Art,463,0,6
Art,463,Movies,440,0,6
Epidemics,489,Art,463,0,9
Television,663,Art,463,0,10
Black People,1167,Art,463,0,12
Social Media,652,Art,463,0,12
Cooking and Cookbooks,492,Art,463,0,21
Art,463,Polls and Public Opinion,404,0,24
China,609,George Floyd Protests (2020),544,0,28
